Arsenal,Brighton,Premier League,18-06-2020,Gigi,2,0,10,8,5,1,23-05-2021,11,3,0,0,0,0,54,46,565,489,7,3
Aston Villa,Chelsea,Premier League,18-06-2020,Gigi,2,1,11,12,3,7,23-05-2021,2,9,0,1,3,4,29,71,250,598,3,11
Fulham,Newcastle,Premier League,18-06-2020,Gigi,0,2,12,6,0,4,23-05-2021,5,4,0,0,1,0,64,36,597,333,7,3
Leeds,West Brom,Premier League,18-06-2020,Gigi,3,1,12,12,9,5,23-05-2021,8,3,0,0,2,1,64,36,499,268,3,6
Leicester,Tottenham,Premier League,18-06-2020,Gigi,2,4,9,8,6,4,23-05-2021,8,7,0,0,0,2,47,53,444,492,2,2
Liverpool,Crystal Palace,Premier League,18-06-2020,Gigi,2,0,10,8,5,4,23-05-2021,14,1,0,0,2,2,70,30,588,263,10,1
Manchester City,Everton,Premier League,18-06-2020,Gigi,5,0,8,10,11,3,23-05-2021,7,5,0,0,2,2,68,32,725,340,6,2
Sheffield Utd,Burnley,Premier League,18-06-2020,Gigi,1,0,11,1,3,3,23-05-2021,8,9,0,0,3,1,43,57,361,482,7,3
West Ham,Southampton,Premier League,18-06-2020,Gigi,3,0,5,9,7,5,23-05-2021,2,3,0,0,0,3,37,63,300,534,6,8
Wolves,Manchester Utd,Premier League,18-06-2020,Gigi,1,2,14,3,4,4,23-05-2021,6,2,0,0,4,1,57,43,571,440,6,5
Burnley,Liverpool,Premier League,18-06-2020,Gigi,0,3,10,7,4,3,19-05-2021,6,7,0,0,0,0,41,59,389,584,3,9
West Brom,West Ham,Premier League,18-06-2020,Gigi,1,3,8,11,4,9,19-05-2021,6,8,0,0,2,2,52,48,357,326,5,9
Crystal Palace,Arsenal,Premier League,18-06-2020,Gigi,1,3,7,7,6,3,19-05-2021,6,7,0,0,2,1,31,69,258,603,4,1
Everton,Wolves,Premier League,18-06-2020,Gigi,1,0,11,11,4,3,19-05-2021,7,12,0,0,0,2,41,59,377,528,4,2
Newcastle,Sheffield Utd,Premier League,18-06-2020,Gigi,1,0,7,7,5,1,19-05-2021,5,2,0,0,0,2,50,50,474,461,9,9
Tottenham,Aston Villa,Premier League,18-06-2020,Gigi,1,2,14,13,4,4,19-05-2021,4,5,0,0,1,1,61,39,569,367,2,9
Chelsea,Leicester,Premier League,18-06-2020,Gigi,2,1,15,16,6,3,18-05-2021,6,5,0,0,2,4,59,41,549,381,5,3
Brighton,Manchester City,Premier League,18-06-2020,Gigi,3,2,13,11,6,4,18-05-2021,5,3,0,1,3,3,63,37,607,361,4,2
Manchester Utd,Fulham,Premier League,18-06-2020,Gigi,1,1,10,15,6,5,18-05-2021,6,1,0,0,2,3,57,43,544,410,5,2
Southampton,Leeds,Premier League,18-06-2020,Gigi,0,2,10,12,3,7,18-05-2021,4,4,0,0,0,3,51,49,392,375,11,6
Everton,Sheffield Utd,Premier League,18-06-2020,Gigi,0,1,8,12,6,3,16-05-2021,11,4,0,0,1,3,62,38,635,385,5,3
West Brom,Liverpool,Premier League,18-06-2020,Gigi,1,2,7,14,3,6,16-05-2021,9,13,0,0,0,0,24,76,201,699,6,10
Tottenham,Wolves,Premier League,18-06-2020,Gigi,2,0,8,11,13,3,16-05-2021,10,3,0,0,1,0,62,38,584,360,9,7
Crystal Palace,Aston Villa,Premier League,18-06-2020,Gigi,3,2,23,13,8,5,16-05-2021,7,7,0,0,3,2,46,54,325,393,3,8
Brighton,West Ham,Premier League,18-06-2020,Gigi,1,1,7,5,2,3,15-05-2021,3,3,0,0,1,0,51,49,595,552,2,8
Southampton,Fulham,Premier League,18-06-2020,Gigi,3,1,9,15,7,3,15-05-2021,6,5,0,0,0,1,46,54,470,547,2,4
Burnley,Leeds,Premier League,18-06-2020,Gigi,0,4,10,10,4,6,15-05-2021,6,8,0,0,1,1,48,52,418,440,8,5
Newcastle,Manchester City,Premier League,18-06-2020,Gigi,3,4,11,10,5,6,14-05-2021,4,5,0,0,2,2,18,82,195,925,3,7
Manchester Utd,Liverpool,Premier League,18-06-2020,Gigi,2,4,10,12,3,8,13-05-2021,6,4,0,0,3,0,53,47,511,454,8,5
Aston Villa,Everton,Premier League,18-06-2020,Gigi,0,0,9,12,2,5,13-05-2021,9,1,0,0,2,1,58,42,502,362,7,9
Chelsea,Arsenal,Premier League,18-06-2020,Gigi,0,1,7,6,5,2,12-05-2021,9,1,0,0,0,1,68,32,765,369,9,1
Southampton,Crystal Palace,Premier League,18-06-2020,Gigi,3,1,20,13,6,4,11-05-2021,12,8,0,0,2,3,63,37,531,311,3,2
Manchester Utd,Leicester,Premier League,18-06-2020,Gigi,1,2,9,12,1,3,11-05-2021,3,4,0,0,0,0,53,47,561,490,3,3
Fulham,Burnley,Premier League,18-06-2020,Gigi,0,2,11,10,3,5,10-05-2021,8,4,0,0,2,0,68,32,520,253,11,6
Arsenal,West Brom,Premier League,18-06-2020,Gigi,3,1,7,9,7,1,09-05-2021,6,6,0,0,1,2,66,34,576,288,5,7
West Ham,Everton,Premier League,18-06-2020,Gigi,0,1,8,10,0,3,09-05-2021,5,6,0,0,2,1,69,31,606,278,6,4
Aston Villa,Manchester Utd,Premier League,18-06-2020,Gigi,1,3,13,18,5,7,09-05-2021,5,6,1,0,3,1,41,59,383,563,3,4
Wolves,Brighton,Premier League,18-06-2020,Gigi,2,1,12,7,6,3,09-05-2021,10,5,0,2,2,2,60,40,569,373,3,1
Liverpool,Southampton,Premier League,18-06-2020,Gigi,2,0,10,6,6,6,08-05-2021,8,4,0,0,0,1,54,46,557,480,5,4
Manchester City,Chelsea,Premier League,18-06-2020,Gigi,1,2,12,10,4,5,08-05-2021,6,2,0,0,2,0,48,52,537,580,6,4
Sheffield Utd,Crystal Palace,Premier League,18-06-2020,Gigi,0,2,11,8,0,8,08-05-2021,5,11,0,0,1,1,49,51,412,423,6,7
Leeds,Tottenham,Premier League,18-06-2020,Gigi,3,1,12,10,7,3,08-05-2021,8,6,0,0,1,2,53,47,442,395,5,4
Leicester,Newcastle,Premier League,18-06-2020,Gigi,2,4,12,9,9,6,07-05-2021,9,6,0,0,1,1,68,32,596,274,7,4
Burnley,West Ham,Premier League,18-06-2020,Gigi,1,2,4,8,3,4,03-05-2021,5,4,0,0,2,1,45,55,426,544,3,12
West Brom,Wolves,Premier League,18-06-2020,Gigi,1,1,17,11,4,10,03-05-2021,5,6,0,0,2,0,42,58,339,467,5,6
Tottenham,Sheffield Utd,Premier League,18-06-2020,Gigi,4,0,8,9,11,1,02-05-2021,6,6,0,0,1,1,66,34,715,356,6,3
Newcastle,Arsenal,Premier League,18-06-2020,Gigi,0,2,10,9,1,5,02-05-2021,3,7,1,0,2,1,38,62,396,640,3,10
Everton,Aston Villa,Premier League,18-06-2020,Gigi,1,2,10,13,3,5,01-05-2021,3,6,0,0,0,2,48,52,421,469,7,5
Chelsea,Fulham,Premier League,18-06-2020,Gigi,2,0,15,8,5,3,01-05-2021,1,8,0,0,1,1,49,51,511,521,1,4
Brighton,Leeds,Premier League,18-06-2020,Gigi,2,0,17,6,5,2,01-05-2021,2,9,0,0,1,1,42,58,351,446,8,5
Crystal Palace,Manchester City,Premier League,18-06-2020,Gigi,0,2,9,10,4,3,01-05-2021,2,6,0,0,2,0,30,70,294,696,4,10
Southampton,Leicester,Premier League,18-06-2020,Gigi,1,1,9,13,3,9,30-04-2021,0,10,1,0,1,0,29,71,273,633,0,9
Leicester,Crystal Palace,Premier League,18-06-2020,Gigi,2,1,13,12,5,2,26-04-2021,7,2,0,0,0,1,67,33,598,300,6,1
Aston Villa,West Brom,Premier League,18-06-2020,Gigi,2,2,14,9,11,4,25-04-2021,11,4,0,0,0,2,70,30,551,240,7,5
Leeds,Manchester Utd,Premier League,18-06-2020,Gigi,0,0,21,11,3,4,25-04-2021,2,6,0,0,4,1,44,56,385,483,1,7
Wolves,Burnley,Premier League,18-06-2020,Gigi,0,4,8,9,2,7,25-04-2021,8,5,0,0,1,2,59,41,474,325,5,6
Sheffield Utd,Brighton,Premier League,18-06-2020,Gigi,1,0,13,7,3,4,24-04-2021,2,12,0,0,3,0,32,68,295,640,1,8
West Ham,Chelsea,Premier League,18-06-2020,Gigi,0,1,9,11,2,6,24-04-2021,4,2,1,0,0,4,45,55,447,566,4,6
Liverpool,Newcastle,Premier League,18-06-2020,Gigi,1,1,9,7,9,4,24-04-2021,6,3,0,0,2,1,69,31,793,350,8,1
Arsenal,Everton,Premier League,18-06-2020,Gigi,0,1,13,10,3,1,23-04-2021,7,3,0,0,1,3,59,41,627,438,3,3
Leicester,West Brom,Premier League,18-06-2020,Gigi,3,0,13,12,7,1,22-04-2021,7,3,0,0,0,2,73,27,706,255,5,3
Aston Villa,Manchester City,Premier League,18-06-2020,Gigi,1,2,12,7,3,3,21-04-2021,1,11,1,1,2,1,28,72,304,806,3,7
Tottenham,Southampton,Premier League,18-06-2020,Gigi,2,1,10,14,3,5,21-04-2021,5,5,0,0,2,1,62,38,610,371,5,3
Chelsea,Brighton,Premier League,18-06-2020,Gigi,0,0,8,9,4,2,20-04-2021,0,3,0,1,2,2,64,36,740,410,2,4
Leeds,Liverpool,Premier League,18-06-2020,Gigi,1,1,7,15,5,7,19-04-2021,10,8,0,0,2,1,62,38,525,322,4,6
Manchester Utd,Burnley,Premier League,18-06-2020,Gigi,3,1,9,12,9,3,18-04-2021,8,3,0,0,1,2,69,31,610,266,4,4
Arsenal,Fulham,Premier League,18-06-2020,Gigi,1,1,9,11,5,1,18-04-2021,11,1,0,0,0,3,69,31,633,286,8,0
Wolves,Sheffield Utd,Premier League,18-06-2020,Gigi,1,0,8,15,5,2,17-04-2021,3,3,0,0,1,2,48,52,479,512,3,2
Newcastle,West Ham,Premier League,18-06-2020,Gigi,3,2,9,7,8,6,17-04-2021,3,8,0,1,2,2,35,65,272,510,1,4
Everton,Tottenham,Premier League,18-06-2020,Gigi,2,2,8,8,7,3,16-04-2021,6,3,0,0,1,1,53,47,502,450,8,4
Brighton,Everton,Premier League,18-06-2020,Gigi,0,0,12,7,3,1,12-04-2021,10,3,0,0,1,2,55,45,503,400,10,6
West Brom,Southampton,Premier League,18-06-2020,Gigi,3,0,12,11,6,4,12-04-2021,5,10,0,0,0,1,40,60,285,442,6,10
Sheffield Utd,Arsenal,Premier League,18-06-2020,Gigi,0,3,9,6,2,5,11-04-2021,2,4,0,0,1,1,45,55,469,577,2,3
Tottenham,Manchester Utd,Premier League,18-06-2020,Gigi,1,3,11,15,3,7,11-04-2021,7,5,0,0,1,5,47,53,439,503,6,2
West Ham,Leicester,Premier League,18-06-2020,Gigi,3,2,7,13,4,4,11-04-2021,1,9,0,0,3,3,36,64,365,629,0,5
Burnley,Newcastle,Premier League,18-06-2020,Gigi,1,2,11,12,4,5,11-04-2021,13,3,0,0,1,0,57,43,445,342,14,2
Crystal Palace,Chelsea,Premier League,18-06-2020,Gigi,1,4,7,12,1,10,10-04-2021,0,8,0,0,1,0,36,64,434,782,0,6
